1997,1998,1999,2000,2001,2002,2003,2004,2005
30.1,30.4,29.7,29.1,29.9,29.7,30.1,30,30.9
30.4,31.6,30.2,29.9,30.8,30.9,30.2,30.9,31.4
31.5,32.5,30.8,30.9,31.6,32.2,31.7,31.2,32.5
31.1,33.3,29.5,31,30.4,31.6,31,31.2,32.7
32.5,33.2,31,32.2,32.1,32.4,32.8,32.7,32.7
31.2,32.2,31.4,31.1,31.9,32.6,31.6,32,32.7
31.3,31.8,31.6,32.3,32,32.1,30.9,29.8,32.3
32.2,30,31.1,31.2,31,30.2,30.9,31.8,32.8
30.1,30.6,30.4,29.4,30.2,30.9,30.6,30.5,32
30.1,31.9,29.4,31.4,31,30.5,29.7,30.3,30.3
30.3,30.5,30.2,29.8,30.4,30.5,29.8,30.6,30.5
30.1,29.5,28.4,30.6,30.1,30.8,29.5,30.6,29.8
